UserID,TotalCourses,TotalSpending,CategoryDiversity,AvgRating,PreferredCategory,PreferredLevel,Cluster,Segment,PCA1,PCA2
U00021,2,177.34,2,3.135,2,0,2,Beginner Learners,-0.45029640465387727,-0.0034322257092296677
U00022,1,0.0,1,4.68,10,1,4,Quality Seekers,-1.0239054281203455,1.6170888176125289
U00023,1,0.0,1,4.51,4,1,4,Quality Seekers,-1.0218270512422623,1.4381687279088757
U00024,1,0.0,1,3.93,2,2,3,Career Focused Learners,-1.0147361183640968,0.8277354806846475
U00025,4,119.04,4,2.605,6,0,2,Beginner Learners,0.19036253147905668,-0.5466803252998447
U00026,1,327.99,1,1.51,10,1,0,Inactive Learners,-0.6076958894068899,-1.7219988608601113
U00027,2,0.0,2,2.915,2,0,2,Beginner Learners,-0.6516912511791368,-0.23348668827832023
U00028,12,1012.66,9,3.015,6,1,1,Premium Power Learners,3.3730340074988088,-0.07939350193627415
U00029,1,326.02,1,2.69,1,2,3,Career Focused Learners,-0.6243893642939522,-0.4800664013487283
U00030,1,0.0,1,3.45,10,2,4,Quality Seekers,-1.0088677601200977,0.3225493450508035
U00031,1,0.0,1,2.2,11,1,0,Inactive Learners,-0.9935855771930168,-0.9930395498289991
U00032,1,285.05,1,1.96,1,1,3,Career Focused Learners,-0.6626132240501682,-1.248026277249657
U00033,1,276.37,1,2.72,4,0,2,Beginner Learners,-0.6818938154778704,-0.4480753403174101
U00034,2,248.1,2,2.67,0,1,3,Career Focused Learners,-0.36318017074317094,-0.4934254898459135
U00035,1,0.78,1,3.89,7,0,4,Quality Seekers,-1.0133494573027957,0.7856300861292134
U00036,1,0.0,1,3.85,9,1,4,Quality Seekers,-1.0137580586567636,0.7435377914123402
U00037,2,0.0,2,1.985,2,0,2,Beginner Learners,-0.6403213070813887,-1.212284826068893
U00038,1,0.0,1,3.93,2,2,3,Career Focused Learners,-1.0147361183640968,0.8277354806846475
U00039,1,346.71,1,1.23,10,0,0,Inactive Learners,-0.5827295314479918,-2.01684797137592
U00040,1,0.0,1,3.85,9,1,4,Quality Seekers,-1.0137580586567636,0.7435377914123402
U00041,2,326.02,2,3.5650000000000004,1,1,3,Career Focused Learners,-0.2844511576947385,0.4478818387465659
U00042,1,89.59,1,2.68,0,2,3,Career Focused Learners,-0.8963529355754903,-0.48860573120585016
U00043,1,327.99,1,1.51,10,1,0,Inactive Learners,-0.6076958894068899,-1.7219988608601113
U00044,1,299.57,1,3.74,3,1,3,Career Focused Learners,-0.6676653023654398,0.6252503797925751
U00045,14,1209.79,9,3.375,10,1,1,Premium Power Learners,3.8662379012283297,0.30323914807420294
U00046,2,0.0,2,1.325,4,0,0,Inactive Learners,-0.6322523144958899,-1.906915762565429
U00047,1,0.0,1,3.6,3,2,3,Career Focused Learners,-1.0107016220713474,0.48042001243637966
U00048,13,356.89,9,3.329230769230769,4,1,1,Premium Power Learners,2.749899194551941,0.2595312322941024
U00049,1,0.0,1,3.45,10,2,4,Quality Seekers,-1.0088677601200977,0.3225493450508035
U00050,1,0.0,1,2.61,4,0,2,Beginner Learners,-0.9985981331930993,-0.5615263923084243
U00051,1,0.0,1,4.51,4,1,4,Quality Seekers,-1.0218270512422623,1.4381687279088757
U00052,1,0.78,1,3.89,7,0,4,Quality Seekers,-1.0133494573027957,0.7856300861292134
U00053,1,53.86,1,2.47,6,1,0,Inactive Learners,-0.9349039430088519,-0.7093246288586145
U00054,1,490.9,1,4.55,0,1,3,Career Focused Learners,-0.4573838249063662,1.4761453220645036
U00055,16,1448.25,9,3.055625,4,0,1,Premium Power Learners,4.415310607290951,-0.029497828031036292
U00056,2,0.0,2,2.745,4,0,2,Beginner Learners,-0.6496128743010539,-0.4124067779819733
U00057,1,487.92,1,3.64,1,0,2,Beginner Learners,-0.4496878072723119,0.5184216306425922
U00058,1,117.68,1,2.57,3,0,2,Beginner Learners,-0.8626818719106535,-0.6046134350226962
U00059,1,0.0,1,4.51,4,1,4,Quality Seekers,-1.0218270512422623,1.4381687279088757
U00060,4,53.86,3,3.515,6,1,4,Quality Seekers,-0.11103531022881834,0.4072789218313947
U00061,1,0.0,1,1.91,2,2,3,Career Focused Learners,-0.990040110753934,-1.2982561734411135
U00062,1,0.0,1,3.85,9,1,4,Quality Seekers,-1.0137580586567636,0.7435377914123402
U00063,2,299.57,2,3.31,3,1,3,Career Focused Learners,-0.31177249679035374,0.1797238136333549
U00064,1,276.37,1,2.72,4,0,2,Beginner Learners,-0.6818938154778704,-0.4480753403174101
U00065,1,0.0,1,2.67,11,0,0,Inactive Learners,-0.9993316779735992,-0.4983781253541935
U00066,1,327.99,1,1.51,10,1,0,Inactive Learners,-0.6076958894068899,-1.7219988608601113
U00067,1,119.04,1,2.75,6,2,3,Career Focused Learners,-0.8633174056849953,-0.4151800545320833
U00068,1,0.0,1,3.45,10,2,4,Quality Seekers,-1.0088677601200977,0.3225493450508035
U00069,2,0.0,2,3.67,4,0,2,Beginner Learners,-0.6609216896670936,0.5611290042290803
U00070,2,0.0,2,4.69,5,2,4,Quality Seekers,-0.6733919509355917,1.634649542451
U00071,14,641.94,8,2.777857142857143,9,1,1,Premium Power Learners,3.004788724841613,-0.3248048423952029
U00072,1,326.02,1,2.69,1,2,3,Career Focused Learners,-0.6243893642939522,-0.4800664013487283
U00073,1,0.78,1,3.89,7,0,4,Quality Seekers,-1.0133494573027957,0.7856300861292134
U00074,3,963.18,2,3.523333333333333,9,1,4,Quality Seekers,0.5846809325270326,0.4013776384765869
U00075,1,0.0,1,4.45,4,0,2,Beginner Learners,-1.0210935064617626,1.3750204609546455
U00076,4,472.28,4,3.095,1,1,3,Career Focused Learners,0.5908837719060903,-0.033935752207798923
U00077,1,0.0,1,4.11,8,2,4,Quality Seekers,-1.0169367527055966,1.0171802815473394
U00078,1,0.0,1,4.11,8,2,4,Quality Seekers,-1.0169367527055966,1.0171802815473394
U00079,1,0.0,1,4.94,2,1,4,Quality Seekers,-1.0270841221691782,1.8907313077475283
U00080,1,0.0,1,2.88,9,1,0,Inactive Learners,-1.0018990847053488,-0.2773591910143868
U00081,1,0.0,1,1.52,4,0,0,Inactive Learners,-0.9852720696806848,-1.7087199086436118
U00082,1,0.0,1,4.68,10,1,4,Quality Seekers,-1.0239054281203455,1.6170888176125289
U00083,15,1661.3,9,2.9953333333333334,0,2,1,Premium Power Learners,4.525854558204126,-0.09744132460918456
U00084,1,327.99,1,1.51,10,1,0,Inactive Learners,-0.6076958894068899,-1.7219988608601113
U00085,13,1149.12,7,2.9084615384615384,2,1,1,Premium Power Learners,3.236223684607512,-0.19864246114310574
U00086,4,53.86,4,2.47,1,0,2,Beginner Learners,0.1170032609356587,-0.6882165878203187
U00087,3,0.0,3,4.506666666666667,7,2,4,Quality Seekers,-0.3205148294581164,1.448732518214727
U00088,1,0.0,1,3.64,0,1,3,Career Focused Learners,-1.011190651925014,0.5225188570725334
U00089,1,0.0,1,4.73,7,2,4,Quality Seekers,-1.0245167154374286,1.6697123734077217
U00090,1,0.0,1,3.45,10,2,4,Quality Seekers,-1.0088677601200977,0.3225493450508035
U00091,1,0.0,1,4.14,6,1,4,Quality Seekers,-1.0173035250958464,1.048754415024454
U00092,4,594.81,4,2.7175,0,0,2,Beginner Learners,0.7365076473955509,-0.432272523601811
U00093,1,285.05,1,1.96,1,1,3,Career Focused Learners,-0.6626132240501682,-1.248026277249657
U00094,1,299.57,1,3.74,3,1,3,Career Focused Learners,-0.6676653023654398,0.6252503797925751
U00095,1,248.1,1,1.2,0,1,3,Career Focused Learners,-0.6958440582690941,-2.0475940439039935
U00096,4,0.0,3,2.58,7,1,0,Inactive Learners,-0.1615868230957763,-0.576329291215045
U00097,2,0.0,2,2.095,2,0,2,Beginner Learners,-0.6416661391789718,-1.0965130033194705
U00098,1,0.0,1,4.45,4,0,2,Beginner Learners,-1.0210935064617626,1.3750204609546455
U00099,1,299.57,1,3.74,3,1,3,Career Focused Learners,-0.6676653023654398,0.6252503797925751
U00100,1,0.0,1,2.14,5,1,0,Inactive Learners,-0.992852032412517,-1.0561878167832295
U00101,1,89.59,1,2.68,0,2,3,Career Focused Learners,-0.8963529355754903,-0.48860573120585016
U00102,1,299.57,1,3.74,3,1,3,Career Focused Learners,-0.6676653023654398,0.6252503797925751
U00103,1,0.0,1,2.0,1,0,2,Beginner Learners,-0.9911404279246838,-1.2035337730097675
U00104,1,53.86,1,2.47,6,1,0,Inactive Learners,-0.9349039430088519,-0.7093246288586145
U00105,1,299.57,1,3.74,3,1,3,Career Focused Learners,-0.6676653023654398,0.6252503797925751
U00106,2,57.32,2,3.4400000000000004,5,0,2,Beginner Learners,-0.5921453823397683,0.3185793124774027
U00107,1,0.0,1,3.85,9,1,4,Quality Seekers,-1.0137580586567636,0.7435377914123402
U00108,2,0.0,2,2.965,4,0,2,Beginner Learners,-0.6523025384962201,-0.18086313248312832
U00109,14,869.77,10,3.157857142857143,3,1,1,Premium Power Learners,3.6928571429828176,0.0818946303406777
U00110,1,487.92,1,3.64,1,0,2,Beginner Learners,-0.4496878072723119,0.5184216306425922
U00111,1,0.0,1,2.14,5,1,0,Inactive Learners,-0.992852032412517,-1.0561878167832295
U00112,14,565.8,9,3.165714285714286,3,0,1,Premium Power Learners,3.127686932457646,0.08837977691649994
U00113,1,346.71,1,1.23,10,0,0,Inactive Learners,-0.5827295314479918,-2.01684797137592
U00114,1,0.0,1,2.38,2,0,2,Beginner Learners,-0.9957862115345164,-0.8035947489663079
U00115,1,0.0,1,1.73,7,2,0,Inactive Learners,-0.9878394764124344,-1.487700974303805
U00116,1,0.0,1,1.52,4,0,0,Inactive Learners,-0.9852720696806848,-1.7087199086436118
U00117,13,1885.87,9,3.373076923076923,2,1,1,Premium Power Learners,4.508927455224211,0.2928386894509909
U00118,1,0.0,1,2.0,1,0,2,Beginner Learners,-0.9911404279246838,-1.2035337730097675
U00119,1,57.32,1,4.74,11,0,4,Quality Seekers,-0.9586745872321027,1.6797557494729654
U00120,2,415.51,2,3.215,0,1,3,Career Focused Learners,-0.17718622753768598,0.07876547090276645
U00121,2,328.77,2,2.7,7,0,0,Inactive Learners,-0.270711161697666,-0.46252876917438773
U00122,2,0.0,2,2.895,5,1,3,Career Focused Learners,-0.6514467362523035,-0.2545361105963971
U00123,2,356.89,2,4.24,3,0,2,Beginner Learners,-0.2571780552193593,1.1580406163301338
U00124,2,460.49,2,2.175,0,0,2,Beginner Learners,-0.11270805170208874,-1.016182201649073
U00125,2,326.02,2,2.25,1,0,2,Beginner Learners,-0.2683743012554494,-0.9361176786669868
U00126,14,1084.57,7,3.457142857142857,5,1,1,Premium Power Learners,3.2906039779156653,0.382070033623769
U00127,3,903.43,3,3.846666666666667,0,0,2,Beginner Learners,0.7272297553240348,0.7465151796981846
U00128,13,1813.65,8,3.106923076923077,0,1,1,Premium Power Learners,4.213807275044663,0.008989102866268778
U00129,2,415.51,2,3.885,0,2,3,Career Focused Learners,-0.1853774775866013,0.7839211185583405
U00130,1,248.1,1,1.2,0,1,3,Career Focused Learners,-0.6958440582690941,-2.0475940439039935
U00131,1,0.0,1,3.15,1,0,2,Beginner Learners,-1.0052000362175983,0.006808010279650591
U00132,1,0.0,1,1.13,7,1,0,Inactive Learners,-0.9805040286074356,-2.1191836438461102
U00133,14,828.33,9,2.830714285714286,8,1,1,Premium Power Learners,3.4339045074056034,-0.26640259858912874
U00134,14,1438.21,8,3.3528571428571428,6,0,1,Premium Power Learners,3.9141137946736917,0.2736795053706543
U00135,1,0.0,1,3.02,3,2,3,Career Focused Learners,-1.003610689193182,-0.13001323478784876
U00136,1,0.0,1,3.15,1,0,2,Beginner Learners,-1.0052000362175983,0.006808010279650591
U00137,2,460.29,2,3.705,3,0,2,Beginner Learners,-0.13164360545294718,0.5941002851502877
U00138,2,0.0,2,1.87,4,0,2,Beginner Learners,-0.6389153462520972,-1.3333190043978351
U00139,4,248.1,4,1.8275,0,0,2,Beginner Learners,0.34839148984602203,-1.3660603776360365
U00140,2,53.86,2,3.5650000000000004,5,1,4,Quality Seekers,-0.5976554006048046,0.45016725673552477
U00141,1,0.0,1,2.88,9,1,0,Inactive Learners,-1.0018990847053488,-0.2773591910143868
U00142,1,472.28,1,4.74,9,1,4,Quality Seekers,-0.4811347847704588,1.6762711924157256
U00143,2,177.34,2,4.415,2,0,2,Beginner Learners,-0.46594535997120806,1.3437308026476884
U00144,13,953.67,7,3.173076923076923,6,2,1,Premium Power Learners,3.0080628979701842,0.08149884660808872
U00145,1,0.0,1,4.94,2,1,4,Quality Seekers,-1.0270841221691782,1.8907313077475283
U00146,1,0.0,1,4.44,5,1,4,Quality Seekers,-1.0209712489983458,1.3644957497956074
U00147,12,1195.68,9,3.0775,3,1,1,Premium Power Learners,3.5828910055592464,-0.01515093697013254
U00148,1,0.0,1,3.02,3,2,3,Career Focused Learners,-1.003610689193182,-0.13001323478784876
U00149,10,906.41,8,3.303,0,0,1,Premium Power Learners,2.761230707684297,0.2148751751216312
U00150,2,0.0,2,3.245,2,0,2,Beginner Learners,-0.6557257474718862,0.11382877996994772
U00151,1,0.0,1,4.44,5,1,4,Quality Seekers,-1.0209712489983458,1.3644957497956074
U00152,12,1368.9199999999998,9,3.296666666666667,2,1,1,Premium Power Learners,3.7795777223201723,0.21406089539858997
U00153,2,37.89,2,2.575,9,0,0,Inactive Learners,-0.603930335298256,-0.5916450426106765
U00154,1,248.1,1,1.2,0,1,3,Career Focused Learners,-0.6958440582690941,-2.0475940439039935
U00155,2,0.0,2,3.71,6,1,4,Quality Seekers,-0.6614107195207602,0.6032278488652341
U00156,1,0.0,1,1.59,6,0,0,Inactive Learners,-0.9861278719246014,-1.6350469305303428
U00157,2,212.39,2,2.53,2,0,2,Beginner Learners,-0.4025639642356379,-0.6404715773320572
U00158,1,0.0,1,1.28,9,1,0,Inactive Learners,-0.9823378905586853,-1.961312976460534
U00159,2,53.86,2,2.1,6,1,0,Inactive Learners,-0.5797446822142658,-1.0917029280636041
U00160,1,327.99,1,1.51,10,1,0,Inactive Learners,-0.6076958894068899,-1.7219988608601113
U00161,11,605.6,7,2.8972727272727274,1,0,1,Premium Power Learners,2.3401265009258196,-0.21125265805190283
U00162,1,0.0,1,1.59,6,0,0,Inactive Learners,-0.9861278719246014,-1.6350469305303428
U00163,1,0.0,1,3.45,10,2,4,Quality Seekers,-1.0088677601200977,0.3225493450508035
U00164,2,0.0,1,3.2700000000000005,7,0,2,Beginner Learners,-0.8712940573678654,0.13580375139974263
U00165,4,419.82,4,2.995,0,2,3,Career Focused Learners,0.5317348937806224,-0.1387423397399058
U00166,15,248.88,9,3.1886666666666668,7,2,1,Premium Power Learners,2.8980649263635083,0.11789698470940481
U00167,1,0.0,1,4.94,2,1,4,Quality Seekers,-1.0270841221691782,1.8907313077475283
U00168,1,326.02,1,2.69,1,2,3,Career Focused Learners,-0.6243893642939522,-0.4800664013487283
U00169,13,567.16,11,2.636923076923077,4,0,1,Premium Power Learners,3.4308691642753293,-0.4621947113282313
U00170,3,0.0,3,2.72,9,1,0,Inactive Learners,-0.2986714959943421,-0.43168254220013735
U00171,2,0.0,1,4.065,10,1,4,Quality Seekers,-0.8810135257094888,0.9725182885432969
U00172,1,0.0,1,4.73,7,2,4,Quality Seekers,-1.0245167154374286,1.6697123734077217
U00173,14,1094.82,10,3.1978571428571425,0,1,1,Premium Power Learners,3.951357732716564,0.12210365531775103
U00174,1,212.39,1,3.15,5,0,2,Beginner Learners,-0.7607796616156403,0.005024500848893047
U00175,2,490.9,2,2.915,0,1,3,Career Focused Learners,-0.08675899498957415,-0.23760893875884606
U00176,1,0.0,1,4.68,10,1,4,Quality Seekers,-1.0239054281203455,1.6170888176125289
U00177,14,1526.54,9,3.023571428571429,6,1,1,Premium Power Learners,4.235053204746343,-0.0692891276988805
U00178,14,236.72000000000003,10,3.54,3,1,1,Premium Power Learners,2.9596653716103316,0.48940488091524265
U00179,2,487.92,2,2.685,1,0,2,Beginner Learners,-0.08737648486785188,-0.4796522713661451
U00180,1,0.0,1,4.73,7,2,4,Quality Seekers,-1.0245167154374286,1.6697123734077217
U00181,1,299.57,1,3.74,3,1,3,Career Focused Learners,-0.6676653023654398,0.6252503797925751
U00182,1,0.0,1,4.1,6,2,4,Quality Seekers,-1.0168144952421798,1.0066555703883004
U00183,1,0.0,1,4.73,7,2,4,Quality Seekers,-1.0245167154374286,1.6697123734077217
U00184,1,0.0,1,2.38,2,0,2,Beginner Learners,-0.9957862115345164,-0.8035947489663079
U00185,1,57.32,1,4.74,11,0,4,Quality Seekers,-0.9586745872321027,1.6797557494729654
U00186,2,326.02,2,3.0700000000000003,1,2,3,Career Focused Learners,-0.27839941325561446,-0.07309136362583603
U00187,1,472.28,1,4.74,9,1,4,Quality Seekers,-0.4811347847704588,1.6762711924157256
U00188,1,0.0,1,1.52,4,0,0,Inactive Learners,-0.9852720696806848,-1.7087199086436118
U00189,1,0.0,1,1.59,6,0,0,Inactive Learners,-0.9861278719246014,-1.6350469305303428
U00190,1,487.92,1,3.64,1,0,2,Beginner Learners,-0.4496878072723119,0.5184216306425922
U00191,12,2258.7,8,3.955833333333333,10,1,1,Premium Power Learners,4.580223297682233,0.8960061877314727
U00192,14,680.0699999999999,9,3.440714285714286,11,1,1,Premium Power Learners,3.255827824132167,0.3768497706154593
U00193,1,0.0,1,4.79,8,0,4,Quality Seekers,-1.0252502602179285,1.7328606403619518
U00194,1,0.0,1,3.02,3,2,3,Career Focused Learners,-1.003610689193182,-0.13001323478784876
U00195,1,346.71,1,1.23,10,0,0,Inactive Learners,-0.5827295314479918,-2.01684797137592
U00196,1,394.26,1,1.35,2,2,3,Career Focused Learners,-0.5294756416204935,-1.8909507306235984
U00197,1,0.0,1,3.6,3,2,3,Career Focused Learners,-1.0107016220713474,0.48042001243637966
U00198,12,1242.34,7,3.2741666666666664,6,1,1,Premium Power Learners,3.203658035468246,0.18276961669172562
U00199,1,0.0,1,2.43,9,2,0,Inactive Learners,-0.9963974988515997,-0.7509711931711155
U00200,4,269.71,3,3.4650000000000003,4,0,2,Beginner Learners,0.13797815166255117,0.3528428018353034
U00201,3,691.88,3,2.676666666666667,0,0,2,Beginner Learners,0.4980801837038926,-0.4830995702377781
U00202,1,0.0,1,3.85,9,1,4,Quality Seekers,-1.0137580586567636,0.7435377914123402
U00203,2,326.02,2,3.005,1,1,3,Career Focused Learners,-0.27760473974340627,-0.14150198615958617
U00204,1,0.0,1,1.59,6,0,0,Inactive Learners,-0.9861278719246014,-1.6350469305303428
U00205,1,342.61,1,4.84,10,2,4,Quality Seekers,-0.6315827936276861,1.7826071860998347
U00206,1,89.59,1,2.68,0,2,3,Career Focused Learners,-0.8963529355754903,-0.48860573120585016
U00207,2,177.34,2,2.585,5,0,2,Beginner Learners,-0.4435722441659617,-0.5822913394563426
U00208,15,507.62,10,3.1533333333333338,3,1,1,Premium Power Learners,3.4115199518734722,0.08287375262726676
U00209,1,0.0,1,3.15,1,0,2,Beginner Learners,-1.0052000362175983,0.006808010279650591
U00210,2,37.89,2,1.515,7,0,0,Inactive Learners,-0.5909710441760914,-1.7072644254687495
U00211,1,0.0,1,4.68,10,1,4,Quality Seekers,-1.0239054281203455,1.6170888176125289
U00212,2,0.0,2,4.265,9,1,4,Quality Seekers,-0.6681960087403842,1.1873493181918662
U00213,2,299.57,2,4.23,3,1,4,Quality Seekers,-0.32302018342468525,1.1479972402648901
U00214,1,89.59,1,2.68,0,2,3,Career Focused Learners,-0.8963529355754903,-0.48860573120585016
U00215,1,326.02,1,2.69,1,2,3,Career Focused Learners,-0.6243893642939522,-0.4800664013487283
U00216,16,1405.87,10,3.545625,9,1,1,Premium Power Learners,4.575811362206156,0.49090570417722285
U00217,1,37.89,1,1.3,11,0,0,Inactive Learners,-0.9389782433608038,-1.9405817290675071
U00218,1,0.0,1,4.72,8,2,4,Quality Seekers,-1.0243944579740119,1.6591876622486825
U00219,1,0.0,1,4.51,4,1,4,Quality Seekers,-1.0218270512422623,1.4381687279088757
U00220,15,300.35,11,3.628666666666666,9,1,1,Premium Power Learners,3.3824430820595333,0.5892256779435068
U00221,1,0.0,1,4.45,4,0,2,Beginner Learners,-1.0210935064617626,1.3750204609546455
U00222,1,0.78,1,3.89,7,0,4,Quality Seekers,-1.0133494573027957,0.7856300861292134
U00223,1,0.0,1,4.1,6,2,4,Quality Seekers,-1.0168144952421798,1.0066555703883004
U00224,1,490.9,1,4.55,0,1,3,Career Focused Learners,-0.4573838249063662,1.4761453220645036
U00225,1,0.0,1,4.1,6,2,4,Quality Seekers,-1.0168144952421798,1.0066555703883004
U00226,1,346.71,1,1.23,10,0,0,Inactive Learners,-0.5827295314479918,-2.01684797137592
U00227,2,0.0,2,4.305,4,1,4,Quality Seekers,-0.6686850385940508,1.2294481628280198
U00228,1,117.68,1,2.57,3,0,2,Beginner Learners,-0.8626818719106535,-0.6046134350226962
U00229,2,0.0,2,2.73,3,0,2,Beginner Learners,-0.6494294881059288,-0.42819384472053107
U00230,2,119.04,2,3.595,5,1,4,Quality Seekers,-0.5230124266955317,0.4811940520860954
U00231,2,213.17,2,3.52,5,0,2,Beginner Learners,-0.41376982190625133,0.40146827749346614
U00232,1,0.0,1,2.38,2,0,2,Beginner Learners,-0.9957862115345164,-0.8035947489663079
U00233,1,119.04,1,2.75,6,2,3,Career Focused Learners,-0.8633174056849953,-0.4151800545320833
U00234,2,326.02,2,3.74,1,0,2,Beginner Learners,-0.2865906633045298,0.632064284029738
U00235,3,472.28,2,3.856666666666667,9,1,4,Quality Seekers,0.015673427556914706,0.756323594258394
U00236,1,394.26,1,1.35,2,2,3,Career Focused Learners,-0.5294756416204935,-1.8909507306235984
U00237,1,0.0,1,3.15,1,0,2,Beginner Learners,-1.0052000362175983,0.006808010279650591
U00238,15,1872.92,10,3.1626666666666665,1,1,1,Premium Power Learners,4.9826057010404545,0.0812319384350585
U00239,1,0.0,1,4.44,5,1,4,Quality Seekers,-1.0209712489983458,1.3644957497956074
U00240,2,0.0,2,3.33,1,0,2,Beginner Learners,-0.6567649359109277,0.20328882482177427
U00241,2,0.0,2,4.2700000000000005,2,1,3,Career Focused Learners,-0.6682571374720925,1.1926116737713863
U00242,2,266.93,2,3.285,0,0,2,Beginner Learners,-0.3490292667436013,0.15368612466565174
U00243,1,177.34,1,3.89,5,0,2,Beginner Learners,-0.8101625777900043,0.7841474531187395
U00244,1,276.37,1,2.72,4,0,2,Beginner Learners,-0.6818938154778704,-0.4480753403174101
U00245,1,0.0,1,4.14,6,1,4,Quality Seekers,-1.0173035250958464,1.048754415024454
U00246,1,472.28,1,4.74,9,1,4,Quality Seekers,-0.4811347847704588,1.6762711924157256
U00247,1,0.0,1,2.01,8,0,0,Inactive Learners,-0.9912626853881005,-1.1930090618507294
U00248,1,0.0,1,1.59,6,0,0,Inactive Learners,-0.9861278719246014,-1.6350469305303428
U00249,1,0.0,1,2.88,9,1,0,Inactive Learners,-1.0018990847053488,-0.2773591910143868
U00250,1,342.61,1,4.84,10,2,4,Quality Seekers,-0.6315827936276861,1.7826071860998347
U00251,13,1310.57,9,3.493846153846154,6,1,1,Premium Power Learners,3.8453904051503525,0.42477580186154035
U00252,1,0.0,1,1.52,4,0,0,Inactive Learners,-0.9852720696806848,-1.7087199086436118
U00253,1,0.0,1,4.66,5,2,4,Quality Seekers,-1.0236609131935122,1.5960393952944525
U00254,1,0.0,1,4.94,2,1,4,Quality Seekers,-1.0270841221691782,1.8907313077475283
U00255,1,394.26,1,1.35,2,2,3,Career Focused Learners,-0.5294756416204935,-1.8909507306235984
U00256,1,0.0,1,4.51,4,1,4,Quality Seekers,-1.0218270512422623,1.4381687279088757
U00257,1,0.0,1,3.45,10,2,4,Quality Seekers,-1.0088677601200977,0.3225493450508035
U00258,1,117.68,1,2.57,3,0,2,Beginner Learners,-0.8626818719106535,-0.6046134350226962
U00259,1,342.61,1,4.84,10,2,4,Quality Seekers,-0.6315827936276861,1.7826071860998347
U00260,15,2445.2,9,3.1526666666666667,4,0,1,Premium Power Learners,5.426050404452547,0.06156479541609144
U00261,1,0.0,1,1.13,7,1,0,Inactive Learners,-0.9805040286074356,-2.1191836438461102
U00262,1,0.0,1,1.91,2,2,3,Career Focused Learners,-0.990040110753934,-1.2982561734411135
U00263,4,0.0,4,2.8325,3,2,3,Career Focused Learners,0.0505888421903908,-0.3062435279815234
U00264,3,0.0,3,3.4599999999999995,2,2,3,Career Focused Learners,-0.307718548287174,0.3471460835687051
U00265,14,2087.85,9,3.43,5,2,1,Premium Power Learners,4.876045046943252,0.3537516977521727
U00266,1,212.39,1,3.15,5,0,2,Beginner Learners,-0.7607796616156403,0.005024500848893047
U00267,4,906.53,3,3.0325,1,0,2,Beginner Learners,0.8761241275270006,-0.10769854501903717
U00268,1,0.0,1,3.6,3,2,3,Career Focused Learners,-1.0107016220713474,0.48042001243637966
U00269,1,0.0,1,3.93,2,2,3,Career Focused Learners,-1.0147361183640968,0.8277354806846475
U00270,1,0.0,1,2.67,11,0,0,Inactive Learners,-0.9993316779735992,-0.4983781253541935
U00271,1,0.0,1,4.44,5,1,4,Quality Seekers,-1.0209712489983458,1.3644957497956074
U00272,13,1229.1999999999998,8,3.2284615384615383,5,0,1,Premium Power Learners,3.539730915999443,0.14181264403445776
U00273,1,0.0,1,2.14,5,1,0,Inactive Learners,-0.992852032412517,-1.0561878167832295
U00274,2,177.34,2,3.52,1,0,2,Beginner Learners,-0.4550033169954182,0.40176915391374973
U00275,1,0.0,1,2.98,8,0,0,Inactive Learners,-1.0031216593395154,-0.17211207942400247
