UserID,TotalCourses,TotalSpending,CategoryDiversity,AvgRating,PreferredCategory,PreferredLevel,Cluster,Segment
U00060,4,53.86,3,3.515,6,1,4,Quality Seekers
U00061,1,0.0,1,1.91,2,2,3,Career Focused Learners
U00062,1,0.0,1,3.85,9,1,4,Quality Seekers
U00063,2,299.57,2,3.31,3,1,3,Career Focused Learners
U00064,1,276.37,1,2.72,4,0,2,Beginner Learners
U00065,1,0.0,1,2.67,11,0,0,Inactive Learners
U00066,1,327.99,1,1.51,10,1,0,Inactive Learners
U00067,1,119.04,1,2.75,6,2,3,Career Focused Learners
U00068,1,0.0,1,3.45,10,2,4,Quality Seekers
U00069,2,0.0,2,3.67,4,0,2,Beginner Learners
U00070,2,0.0,2,4.69,5,2,4,Quality Seekers
U00071,14,641.94,8,2.777857142857143,9,1,1,Premium Power Learners
U00072,1,326.02,1,2.69,1,2,3,Career Focused Learners
U00073,1,0.78,1,3.89,7,0,4,Quality Seekers
U00074,3,963.18,2,3.523333333333333,9,1,4,Quality Seekers
U00075,1,0.0,1,4.45,4,0,2,Beginner Learners
U00076,4,472.28,4,3.095,1,1,3,Career Focused Learners
U00077,1,0.0,1,4.11,8,2,4,Quality Seekers
U00078,1,0.0,1,4.11,8,2,4,Quality Seekers
U00079,1,0.0,1,4.94,2,1,4,Quality Seekers
U00080,1,0.0,1,2.88,9,1,0,Inactive Learners
U00081,1,0.0,1,1.52,4,0,0,Inactive Learners
U00082,1,0.0,1,4.68,10,1,4,Quality Seekers
U00083,15,1661.3,9,2.9953333333333334,0,2,1,Premium Power Learners
U00084,1,327.99,1,1.51,10,1,0,Inactive Learners
U00085,13,1149.12,7,2.9084615384615384,2,1,1,Premium Power Learners
U00086,4,53.86,4,2.47,1,0,2,Beginner Learners
U00087,3,0.0,3,4.506666666666667,7,2,4,Quality Seekers
U00088,1,0.0,1,3.64,0,1,3,Career Focused Learners
U00089,1,0.0,1,4.73,7,2,4,Quality Seekers
U00090,1,0.0,1,3.45,10,2,4,Quality Seekers
U00091,1,0.0,1,4.14,6,1,4,Quality Seekers
U00092,4,594.81,4,2.7175,0,0,2,Beginner Learners
U00093,1,285.05,1,1.96,1,1,3,Career Focused Learners
U00094,1,299.57,1,3.74,3,1,3,Career Focused Learners
U00095,1,248.1,1,1.2,0,1,3,Career Focused Learners
U00096,4,0.0,3,2.58,7,1,0,Inactive Learners
U00097,2,0.0,2,2.095,2,0,2,Beginner Learners
U00098,1,0.0,1,4.45,4,0,2,Beginner Learners
U00099,1,299.57,1,3.74,3,1,3,Career Focused Learners
U00100,1,0.0,1,2.14,5,1,0,Inactive Learners
U00101,1,89.59,1,2.68,0,2,3,Career Focused Learners
U00102,1,299.57,1,3.74,3,1,3,Career Focused Learners
U00103,1,0.0,1,2.0,1,0,2,Beginner Learners
U00104,1,53.86,1,2.47,6,1,0,Inactive Learners
U00105,1,299.57,1,3.74,3,1,3,Career Focused Learners
U00106,2,57.32,2,3.4400000000000004,5,0,2,Beginner Learners
U00107,1,0.0,1,3.85,9,1,4,Quality Seekers
U00108,2,0.0,2,2.965,4,0,2,Beginner Learners
U00109,14,869.77,10,3.157857142857143,3,1,1,Premium Power Learners
U00110,1,487.92,1,3.64,1,0,2,Beginner Learners
U00111,1,0.0,1,2.14,5,1,0,Inactive Learners
U00112,14,565.8,9,3.165714285714286,3,0,1,Premium Power Learners
U00113,1,346.71,1,1.23,10,0,0,Inactive Learners
U00114,1,0.0,1,2.38,2,0,2,Beginner Learners
U00115,1,0.0,1,1.73,7,2,0,Inactive Learners
U00116,1,0.0,1,1.52,4,0,0,Inactive Learners
U00117,13,1885.87,9,3.373076923076923,2,1,1,Premium Power Learners
U00118,1,0.0,1,2.0,1,0,2,Beginner Learners
U00119,1,57.32,1,4.74,11,0,4,Quality Seekers
U00120,2,415.51,2,3.215,0,1,3,Career Focused Learners
U00121,2,328.77,2,2.7,7,0,0,Inactive Learners
U00122,2,0.0,2,2.895,5,1,3,Career Focused Learners
U00123,2,356.89,2,4.24,3,0,2,Beginner Learners
U00124,2,460.49,2,2.175,0,0,2,Beginner Learners
U00125,2,326.02,2,2.25,1,0,2,Beginner Learners
U00126,14,1084.57,7,3.457142857142857,5,1,1,Premium Power Learners
U00127,3,903.43,3,3.846666666666667,0,0,2,Beginner Learners
U00128,13,1813.65,8,3.106923076923077,0,1,1,Premium Power Learners
U00129,2,415.51,2,3.885,0,2,3,Career Focused Learners
U00130,1,248.1,1,1.2,0,1,3,Career Focused Learners
U00131,1,0.0,1,3.15,1,0,2,Beginner Learners
U00132,1,0.0,1,1.13,7,1,0,Inactive Learners
U00133,14,828.33,9,2.830714285714286,8,1,1,Premium Power Learners
U00134,14,1438.21,8,3.3528571428571428,6,0,1,Premium Power Learners
U00135,1,0.0,1,3.02,3,2,3,Career Focused Learners
U00136,1,0.0,1,3.15,1,0,2,Beginner Learners
U00137,2,460.29,2,3.705,3,0,2,Beginner Learners
U00138,2,0.0,2,1.87,4,0,2,Beginner Learners
U00139,4,248.1,4,1.8275,0,0,2,Beginner Learners
U00140,2,53.86,2,3.5650000000000004,5,1,4,Quality Seekers
U00141,1,0.0,1,2.88,9,1,0,Inactive Learners
U00142,1,472.28,1,4.74,9,1,4,Quality Seekers
U00143,2,177.34,2,4.415,2,0,2,Beginner Learners
U00144,13,953.67,7,3.173076923076923,6,2,1,Premium Power Learners
U00145,1,0.0,1,4.94,2,1,4,Quality Seekers
U00146,1,0.0,1,4.44,5,1,4,Quality Seekers
U00147,12,1195.68,9,3.0775,3,1,1,Premium Power Learners
U00148,1,0.0,1,3.02,3,2,3,Career Focused Learners
U00149,10,906.41,8,3.303,0,0,1,Premium Power Learners
U00150,2,0.0,2,3.245,2,0,2,Beginner Learners
U00151,1,0.0,1,4.44,5,1,4,Quality Seekers
U00152,12,1368.9199999999998,9,3.296666666666667,2,1,1,Premium Power Learners
U00153,2,37.89,2,2.575,9,0,0,Inactive Learners
U00154,1,248.1,1,1.2,0,1,3,Career Focused Learners
U00155,2,0.0,2,3.71,6,1,4,Quality Seekers
U00156,1,0.0,1,1.59,6,0,0,Inactive Learners
U00157,2,212.39,2,2.53,2,0,2,Beginner Learners
U00158,1,0.0,1,1.28,9,1,0,Inactive Learners
U00159,2,53.86,2,2.1,6,1,0,Inactive Learners
U00160,1,327.99,1,1.51,10,1,0,Inactive Learners
U00161,11,605.6,7,2.8972727272727274,1,0,1,Premium Power Learners
U00162,1,0.0,1,1.59,6,0,0,Inactive Learners
U00163,1,0.0,1,3.45,10,2,4,Quality Seekers
U00164,2,0.0,1,3.2700000000000005,7,0,2,Beginner Learners
U00165,4,419.82,4,2.995,0,2,3,Career Focused Learners
U00166,15,248.88,9,3.1886666666666668,7,2,1,Premium Power Learners
U00167,1,0.0,1,4.94,2,1,4,Quality Seekers
U00168,1,326.02,1,2.69,1,2,3,Career Focused Learners
U00169,13,567.16,11,2.636923076923077,4,0,1,Premium Power Learners
U00170,3,0.0,3,2.72,9,1,0,Inactive Learners
U00171,2,0.0,1,4.065,10,1,4,Quality Seekers
U00172,1,0.0,1,4.73,7,2,4,Quality Seekers
U00173,14,1094.82,10,3.1978571428571425,0,1,1,Premium Power Learners
U00174,1,212.39,1,3.15,5,0,2,Beginner Learners
U00175,2,490.9,2,2.915,0,1,3,Career Focused Learners
U00176,1,0.0,1,4.68,10,1,4,Quality Seekers
U00177,14,1526.54,9,3.023571428571429,6,1,1,Premium Power Learners
U00178,14,236.72000000000003,10,3.54,3,1,1,Premium Power Learners
U00179,2,487.92,2,2.685,1,0,2,Beginner Learners
U00180,1,0.0,1,4.73,7,2,4,Quality Seekers
U00181,1,299.57,1,3.74,3,1,3,Career Focused Learners
U00182,1,0.0,1,4.1,6,2,4,Quality Seekers
U00183,1,0.0,1,4.73,7,2,4,Quality Seekers
U00184,1,0.0,1,2.38,2,0,2,Beginner Learners
U00185,1,57.32,1,4.74,11,0,4,Quality Seekers
U00186,2,326.02,2,3.0700000000000003,1,2,3,Career Focused Learners
U00187,1,472.28,1,4.74,9,1,4,Quality Seekers
U00188,1,0.0,1,1.52,4,0,0,Inactive Learners
U00189,1,0.0,1,1.59,6,0,0,Inactive Learners
U00190,1,487.92,1,3.64,1,0,2,Beginner Learners
U00191,12,2258.7,8,3.955833333333333,10,1,1,Premium Power Learners
U00192,14,680.0699999999999,9,3.440714285714286,11,1,1,Premium Power Learners
U00193,1,0.0,1,4.79,8,0,4,Quality Seekers
U00194,1,0.0,1,3.02,3,2,3,Career Focused Learners
U00195,1,346.71,1,1.23,10,0,0,Inactive Learners
U00196,1,394.26,1,1.35,2,2,3,Career Focused Learners
U00197,1,0.0,1,3.6,3,2,3,Career Focused Learners
U00198,12,1242.34,7,3.2741666666666664,6,1,1,Premium Power Learners
U00199,1,0.0,1,2.43,9,2,0,Inactive Learners
U00200,4,269.71,3,3.4650000000000003,4,0,2,Beginner Learners
U00201,3,691.88,3,2.676666666666667,0,0,2,Beginner Learners
U00202,1,0.0,1,3.85,9,1,4,Quality Seekers
U00203,2,326.02,2,3.005,1,1,3,Career Focused Learners
U00204,1,0.0,1,1.59,6,0,0,Inactive Learners
U00205,1,342.61,1,4.84,10,2,4,Quality Seekers
U00206,1,89.59,1,2.68,0,2,3,Career Focused Learners
U00207,2,177.34,2,2.585,5,0,2,Beginner Learners
U00208,15,507.62,10,3.1533333333333338,3,1,1,Premium Power Learners
U00209,1,0.0,1,3.15,1,0,2,Beginner Learners
U00210,2,37.89,2,1.515,7,0,0,Inactive Learners
U00211,1,0.0,1,4.68,10,1,4,Quality Seekers
U00212,2,0.0,2,4.265,9,1,4,Quality Seekers
U00213,2,299.57,2,4.23,3,1,4,Quality Seekers
U00214,1,89.59,1,2.68,0,2,3,Career Focused Learners
U00215,1,326.02,1,2.69,1,2,3,Career Focused Learners
U00216,16,1405.87,10,3.545625,9,1,1,Premium Power Learners
U00217,1,37.89,1,1.3,11,0,0,Inactive Learners
U00218,1,0.0,1,4.72,8,2,4,Quality Seekers
U00219,1,0.0,1,4.51,4,1,4,Quality Seekers
U00220,15,300.35,11,3.6286666666666663,9,1,1,Premium Power Learners
U00221,1,0.0,1,4.45,4,0,2,Beginner Learners
U00222,1,0.78,1,3.89,7,0,4,Quality Seekers
U00223,1,0.0,1,4.1,6,2,4,Quality Seekers
U00224,1,490.9,1,4.55,0,1,3,Career Focused Learners
U00225,1,0.0,1,4.1,6,2,4,Quality Seekers
U00226,1,346.71,1,1.23,10,0,0,Inactive Learners
U00227,2,0.0,2,4.305,4,1,4,Quality Seekers
U00228,1,117.68,1,2.57,3,0,2,Beginner Learners
U00229,2,0.0,2,2.73,3,0,2,Beginner Learners
U00230,2,119.04,2,3.595,5,1,4,Quality Seekers
U00231,2,213.17,2,3.52,5,0,2,Beginner Learners
U00232,1,0.0,1,2.38,2,0,2,Beginner Learners
U00233,1,119.04,1,2.75,6,2,3,Career Focused Learners
U00234,2,326.02,2,3.74,1,0,2,Beginner Learners
U00235,3,472.28,2,3.856666666666667,9,1,4,Quality Seekers
U00236,1,394.26,1,1.35,2,2,3,Career Focused Learners
U00237,1,0.0,1,3.15,1,0,2,Beginner Learners
U00238,15,1872.92,10,3.1626666666666665,1,1,1,Premium Power Learners
U00239,1,0.0,1,4.44,5,1,4,Quality Seekers
U00240,2,0.0,2,3.33,1,0,2,Beginner Learners
U00241,2,0.0,2,4.2700000000000005,2,1,3,Career Focused Learners
U00242,2,266.93,2,3.285,0,0,2,Beginner Learners
U00243,1,177.34,1,3.89,5,0,2,Beginner Learners
U00244,1,276.37,1,2.72,4,0,2,Beginner Learners
U00245,1,0.0,1,4.14,6,1,4,Quality Seekers
U00246,1,472.28,1,4.74,9,1,4,Quality Seekers
U00247,1,0.0,1,2.01,8,0,0,Inactive Learners
U00248,1,0.0,1,1.59,6,0,0,Inactive Learners
U00249,1,0.0,1,2.88,9,1,0,Inactive Learners
U00250,1,342.61,1,4.84,10,2,4,Quality Seekers
U00251,13,1310.57,9,3.493846153846154,6,1,1,Premium Power Learners
U00252,1,0.0,1,1.52,4,0,0,Inactive Learners
U00253,1,0.0,1,4.66,5,2,4,Quality Seekers
U00254,1,0.0,1,4.94,2,1,4,Quality Seekers
U00255,1,394.26,1,1.35,2,2,3,Career Focused Learners
U00256,1,0.0,1,4.51,4,1,4,Quality Seekers
U00257,1,0.0,1,3.45,10,2,4,Quality Seekers
U00258,1,117.68,1,2.57,3,0,2,Beginner Learners
U00259,1,342.61,1,4.84,10,2,4,Quality Seekers
U00260,15,2445.2,9,3.1526666666666667,4,0,1,Premium Power Learners
U00261,1,0.0,1,1.13,7,1,0,Inactive Learners
U00262,1,0.0,1,1.91,2,2,3,Career Focused Learners
U00263,4,0.0,4,2.8325,3,2,3,Career Focused Learners
U00264,3,0.0,3,3.4599999999999995,2,2,3,Career Focused Learners
U00265,14,2087.85,9,3.43,5,2,1,Premium Power Learners
U00266,1,212.39,1,3.15,5,0,2,Beginner Learners
U00267,4,906.53,3,3.0325,1,0,2,Beginner Learners
U00268,1,0.0,1,3.6,3,2,3,Career Focused Learners
U00269,1,0.0,1,3.93,2,2,3,Career Focused Learners
U00270,1,0.0,1,2.67,11,0,0,Inactive Learners
U00271,1,0.0,1,4.44,5,1,4,Quality Seekers
U00272,13,1229.1999999999998,8,3.2284615384615383,5,0,1,Premium Power Learners
U00273,1,0.0,1,2.14,5,1,0,Inactive Learners
U00274,2,177.34,2,3.52,1,0,2,Beginner Learners
U00275,1,0.0,1,2.98,8,0,0,Inactive Learners
U00276,1,299.57,1,3.74,3,1,3,Career Focused Learners
U00277,1,0.0,1,2.01,8,0,0,Inactive Learners
U00278,1,0.0,1,3.85,9,1,4,Quality Seekers
U00279,3,295.02,3,2.6833333333333336,3,0,2,Beginner Learners
U00280,1,299.57,1,3.74,3,1,3,Career Focused Learners
U00281,1,0.0,1,4.11,8,2,4,Quality Seekers
U00282,14,1034.17,9,2.472142857142857,1,0,1,Premium Power Learners
U00283,2,0.0,2,2.8600000000000003,5,1,3,Career Focused Learners
U00284,1,342.61,1,4.84,10,2,4,Quality Seekers
U00285,1,57.32,1,4.74,11,0,4,Quality Seekers
U00286,3,0.0,2,3.106666666666667,11,0,0,Inactive Learners
U00287,2,0.0,2,4.585,4,0,2,Beginner Learners
U00288,1,0.0,1,3.93,2,2,3,Career Focused Learners
U00289,1,0.78,1,3.89,7,0,4,Quality Seekers
U00290,3,57.32,3,4.430000000000001,5,0,2,Beginner Learners
U00291,3,276.37,3,3.6966666666666663,0,0,2,Beginner Learners
U00292,12,965.62,8,3.1333333333333333,2,2,1,Premium Power Learners
U00293,13,1426.48,9,2.94,7,0,1,Premium Power Learners
U00294,1,0.0,1,4.73,7,2,4,Quality Seekers
U00295,1,0.0,1,1.13,7,1,0,Inactive Learners
U00296,2,177.34,2,3.67,5,0,2,Beginner Learners
U00297,1,0.0,1,2.14,5,1,0,Inactive Learners
U00298,14,2020.42,7,3.2892857142857146,10,2,1,Premium Power Learners
U00299,1,0.0,1,3.15,1,0,2,Beginner Learners
U00300,2,487.92,2,2.92,1,0,2,Beginner Learners
U00301,14,1201.4299999999998,9,3.0685714285714285,9,1,1,Premium Power Learners
U00302,1,37.89,1,1.3,11,0,0,Inactive Learners
U00303,14,1085.94,7,3.027142857142857,7,0,1,Premium Power Learners
U00304,1,327.99,1,1.51,10,1,0,Inactive Learners
U00305,1,0.0,1,4.94,2,1,4,Quality Seekers
U00306,1,0.0,1,4.14,6,1,4,Quality Seekers
U00307,1,0.0,1,2.43,9,2,0,Inactive Learners
U00308,4,790.47,4,3.5625,0,1,3,Career Focused Learners
U00309,1,342.61,1,4.84,10,2,4,Quality Seekers
U00310,11,465.17,8,3.097272727272727,3,0,1,Premium Power Learners
U00311,1,0.0,1,3.15,1,0,2,Beginner Learners
U00312,1,0.0,1,3.45,10,2,4,Quality Seekers
U00313,1,0.0,1,4.66,5,2,4,Quality Seekers
U00314,3,0.0,2,2.9766666666666666,9,1,0,Inactive Learners
U00315,12,972.29,9,3.3516666666666666,3,1,1,Premium Power Learners
U00316,2,0.0,2,3.87,3,1,3,Career Focused Learners
U00317,3,57.32,3,3.813333333333333,2,0,2,Beginner Learners
U00318,1,326.02,1,2.69,1,2,3,Career Focused Learners
U00319,1,346.71,1,1.23,10,0,0,Inactive Learners
U00320,1,285.05,1,1.96,1,1,3,Career Focused Learners
U00321,14,1822.94,8,2.579285714285714,0,1,1,Premium Power Learners
U00322,14,626.3,7,3.067857142857143,11,1,1,Premium Power Learners
U00323,15,948.99,8,3.306,1,0,1,Premium Power Learners
U00324,1,0.0,1,2.88,9,1,0,Inactive Learners
U00325,1,0.0,1,3.15,1,0,2,Beginner Learners
U00326,1,0.0,1,2.2,11,1,0,Inactive Learners
U00327,4,177.34,3,4.035,5,2,4,Quality Seekers
U00328,15,1319.89,8,3.31,6,1,1,Premium Power Learners
U00329,12,1632.4199999999998,8,3.035833333333333,3,1,1,Premium Power Learners
U00330,14,1268.62,8,2.775714285714286,8,2,1,Premium Power Learners
U00331,1,276.37,1,2.72,4,0,2,Beginner Learners
U00332,1,0.0,1,1.81,7,0,0,Inactive Learners
U00333,1,0.0,1,1.59,6,0,0,Inactive Learners
U00334,13,887.52,9,2.64,0,1,1,Premium Power Learners
U00335,1,0.0,1,4.94,2,1,4,Quality Seekers
U00336,1,0.0,1,3.64,0,1,3,Career Focused Learners
U00337,1,0.0,1,1.73,7,2,0,Inactive Learners
U00338,14,832.77,8,3.3842857142857143,3,1,1,Premium Power Learners
U00339,16,2087.63,10,3.13625,10,0,1,Premium Power Learners
U00340,14,1220.42,8,2.955,1,0,1,Premium Power Learners
U00341,1,0.0,1,4.79,8,0,4,Quality Seekers
U00342,1,0.0,1,4.73,7,2,4,Quality Seekers
U00343,1,0.0,1,1.13,7,1,0,Inactive Learners
U00344,1,0.0,1,3.93,2,2,3,Career Focused Learners
U00345,15,1367.21,9,3.519333333333333,9,1,1,Premium Power Learners
U00346,3,326.02,3,3.37,1,2,3,Career Focused Learners
U00347,2,346.71,2,2.67,8,0,0,Inactive Learners
U00348,1,299.57,1,3.74,3,1,3,Career Focused Learners
U00349,1,0.0,1,1.13,7,1,0,Inactive Learners
U00350,2,89.59,2,3.810000000000001,0,1,3,Career Focused Learners
U00351,13,777.1,8,2.9269230769230767,2,0,1,Premium Power Learners
U00352,15,1009.69,10,3.0853333333333333,1,1,1,Premium Power Learners
U00353,14,918.31,10,3.378571428571429,5,0,1,Premium Power Learners
U00354,2,0.0,1,4.550000000000001,5,1,4,Quality Seekers
U00355,1,0.0,1,4.45,4,0,2,Beginner Learners
U00356,15,619.16,10,3.091333333333333,0,0,1,Premium Power Learners
U00357,15,2191.98,10,3.1853333333333333,0,1,1,Premium Power Learners
U00358,1,0.0,1,3.45,10,2,4,Quality Seekers
U00359,1,0.0,1,1.28,9,1,0,Inactive Learners
U00360,1,0.0,1,3.6,3,2,3,Career Focused Learners
U00361,1,0.0,1,4.72,8,2,4,Quality Seekers
U00362,13,1113.03,8,3.089230769230769,9,0,1,Premium Power Learners
U00363,1,0.0,1,1.52,4,0,0,Inactive Learners
U00364,1,0.0,1,4.68,10,1,4,Quality Seekers
U00365,13,500.28,7,2.576923076923077,8,0,1,Premium Power Learners
U00366,2,0.0,2,3.545,0,1,3,Career Focused Learners
U00367,1,0.0,1,2.67,11,0,0,Inactive Learners
U00368,1,0.0,1,1.52,4,0,0,Inactive Learners
U00369,4,0.0,4,2.665,1,0,2,Beginner Learners
U00370,2,606.96,2,3.1950000000000003,1,0,2,Beginner Learners
U00371,1,0.0,1,3.02,3,2,3,Career Focused Learners
U00372,1,0.78,1,3.89,7,0,4,Quality Seekers
U00373,1,0.0,1,2.0,1,0,2,Beginner Learners
U00374,1,0.0,1,3.64,0,1,3,Career Focused Learners
U00375,1,326.02,1,2.69,1,2,3,Career Focused Learners
U00376,1,0.0,1,4.51,4,1,4,Quality Seekers
U00377,1,177.34,1,3.89,5,0,2,Beginner Learners
U00378,2,0.0,2,3.63,1,0,2,Beginner Learners
U00379,14,3054.37,8,3.4035714285714285,8,1,1,Premium Power Learners
U00380,1,0.78,1,3.89,7,0,4,Quality Seekers
U00381,1,0.0,1,4.45,4,0,2,Beginner Learners
U00382,3,394.26,3,2.08,2,0,2,Beginner Learners
U00383,15,1668.4,10,2.848,0,0,1,Premium Power Learners
U00384,2,299.57,2,2.875,3,0,2,Beginner Learners
U00385,1,0.0,1,1.73,7,2,0,Inactive Learners
U00386,2,299.57,2,4.125,3,1,3,Career Focused Learners
U00387,1,0.78,1,3.89,7,0,4,Quality Seekers
U00388,1,342.61,1,4.84,10,2,4,Quality Seekers
U00389,1,0.0,1,1.91,2,2,3,Career Focused Learners
U00390,3,0.0,2,3.1266666666666665,11,1,0,Inactive Learners
U00391,1,0.0,1,3.93,2,2,3,Career Focused Learners
U00392,1,327.99,1,1.51,10,1,0,Inactive Learners
U00393,1,0.0,1,4.94,2,1,4,Quality Seekers
U00394,11,38.67,7,2.611818181818182,1,0,2,Beginner Learners
U00395,1,0.0,1,4.94,2,1,4,Quality Seekers
U00396,2,0.0,2,2.915,6,2,3,Career Focused Learners
U00397,1,37.89,1,1.3,11,0,0,Inactive Learners
U00398,3,117.68,3,3.313333333333333,2,0,2,Beginner Learners
U00399,12,1648.36,8,3.0908333333333338,0,0,1,Premium Power Learners
U00400,2,0.0,2,2.83,7,0,0,Inactive Learners
U00401,2,0.0,2,2.95,3,1,3,Career Focused Learners
U00402,2,0.0,2,2.13,6,0,0,Inactive Learners
U00403,1,0.0,1,4.1,6,2,4,Quality Seekers
U00404,14,1617.64,10,3.105714285714286,6,0,1,Premium Power Learners
U00405,2,689.3199999999999,1,3.035,10,0,0,Inactive Learners
U00406,15,1417.44,11,2.902,3,1,1,Premium Power Learners
U00407,15,1611.98,10,3.303333333333333,0,2,1,Premium Power Learners
U00408,1,0.0,1,3.15,1,0,2,Beginner Learners
U00409,2,0.0,2,2.85,6,0,2,Beginner Learners
U00410,1,0.0,1,2.67,11,0,0,Inactive Learners
U00411,12,789.6700000000001,8,3.2883333333333336,8,0,1,Premium Power Learners
U00412,4,236.72000000000003,3,3.3175,6,2,3,Career Focused Learners
U00413,2,472.28,2,4.335,2,1,3,Career Focused Learners
U00414,1,0.0,1,2.61,4,0,2,Beginner Learners
U00415,13,804.99,7,3.1138461538461537,6,0,1,Premium Power Learners
U00416,2,0.0,2,2.925,3,1,3,Career Focused Learners
U00417,2,0.0,2,2.92,0,1,3,Career Focused Learners
U00418,3,528.79,3,2.3266666666666667,0,1,3,Career Focused Learners
U00419,1,0.78,1,3.89,7,0,4,Quality Seekers
U00420,1,327.99,1,1.51,10,1,0,Inactive Learners
U00421,1,0.0,1,4.45,4,0,2,Beginner Learners
U00422,3,285.05,3,2.8266666666666667,1,1,3,Career Focused Learners
U00423,12,1601.22,6,3.0866666666666664,0,1,1,Premium Power Learners
U00424,11,1213.72,7,3.1900000000000004,0,0,1,Premium Power Learners
U00425,1,490.9,1,4.55,0,1,3,Career Focused Learners
U00426,4,472.28,3,3.675,9,1,4,Quality Seekers
U00427,16,1374.23,9,3.033125,0,1,1,Premium Power Learners
U00428,1,0.0,1,2.98,8,0,0,Inactive Learners
U00429,1,0.0,1,4.1,6,2,4,Quality Seekers
U00430,1,487.92,1,3.64,1,0,2,Beginner Learners
U00431,1,487.92,1,3.64,1,0,2,Beginner Learners
U00432,1,0.0,1,4.79,8,0,4,Quality Seekers
U00433,1,276.37,1,2.72,4,0,2,Beginner Learners
U00434,1,177.34,1,3.89,5,0,2,Beginner Learners
U00435,1,119.04,1,2.75,6,2,3,Career Focused Learners
U00436,1,490.9,1,4.55,0,1,3,Career Focused Learners
U00437,3,0.0,3,3.6666666666666665,3,1,3,Career Focused Learners
U00438,14,633.26,10,3.3907142857142856,2,0,1,Premium Power Learners
U00439,1,0.0,1,1.52,4,0,0,Inactive Learners
U00440,1,0.0,1,2.67,11,0,0,Inactive Learners
